chr centro_start    centro_end
1   125100000   143200000
2   93900000    96000000
3   90900000    94000000
4   48200000    51800000
5   46100000    51400000
6   58400000    60300000
7   58100000    61000000
8   43900000    46100000
9   38500000    69000000
10  38500000    42200000
11  50700000    54700000
12  34600000    37400000
13  0   16600000
14  0   20200000
15  0   23500000
16  35300000    46500000
17  22700000    27000000
18  15300000    21200000
19  24200000    27500000
20  26200000    28800000
21  0   13100000
22  0   15500000
X   58100000    63800000
Y   0   3000    10000000    12000000    22000000    57228000   # 3 windows to exclude
